Name,Bio,Link
Eduard,Site Developer,https://d3ward.github.io
Tom Konidas,Plexus Contributor,https://tomkonidas.com/
the-weird-aquarian,Plexus Contributor,https://github.com/the-weird-aquarian
mydarkstar,Discord Mod,https://mydarkstar.net/
isolatedvirus,Discord Mod,X
jameskitt616,Discord Mod,https://jameskitt616.one/
Avery,Discord Mod,https://caverym.xyz
mazer,Discord Mod,X
